FECHA,IPP,IPC
2008-01-01,60.430941152023,65.350563680104
2008-02-01,61.036649472897,65.5448342981189
2008-03-01,61.702102880753706,66.0198907160361
2008-04-01,62.1640344069375,66.1701266606339
2008-05-01,62.645395229701,66.0986350732053
2008-06-01,63.11995579866161,66.37216810336929
2008-07-01,63.6600902435789,66.74205936006821
2008-08-01,63.612974199373,67.12749226620889
2008-09-01,63.9024707184114,67.5849348147597
2008-10-01,64.8418772080427,68.0454856931997
2008-11-01,65.0910579366781,68.8189417803872
2008-12-01,65.18043270094499,69.295552363249
2009-01-01,65.1950046733799,69.4561494074742
2009-02-01,65.5471606738879,69.6094936819603
2009-03-01,65.91291718200189,70.0099501825605
2009-04-01,65.5923337884359,70.25499018874929
2009-05-01,65.2872938321337,70.0503584711078
2009-06-01,65.4641004310095,70.17935416146929
2009-07-01,65.6787941582158,70.3705164495951
2009-08-01,65.8624010108945,70.5388843185408
2009-09-01,66.35201928470451,70.8927158708178
2009-10-01,66.43167940068149,71.107190633106
2009-11-01,66.78577833084759,71.4760457798425
2009-12-01,67.0830465685179,71.77185517420521
2010-01-01,67.57557923681479,72.55204597615091
2010-02-01,67.9403642800997,72.9716705110621
2010-03-01,68.3687802696834,73.4897254924342
2010-04-01,68.19440233288,73.25556464085359
2010-05-01,68.4610694284372,72.7939776524521
2010-06-01,68.558215911336,72.7711832332712
2010-07-01,68.9137720387456,72.92919000258959
2010-08-01,68.959430885708,73.1317495003058
2010-09-01,69.0866927783055,73.51511018652108
2010-10-01,69.1357517521694,73.96892635020279
2010-11-01,69.3970757911671,74.56158124889191
2010-12-01,69.9197238691626,74.93095445061
2011-01-01,70.2913091662505,75.29599134563371
2011-02-01,70.7605266786517,75.578460244005
2011-03-01,71.2166294158615,75.7234509285414
2011-04-01,71.54692745771742,75.7174409519803
2011-05-01,71.5566421060073,75.1592643788689
2011-06-01,71.8514816816051,75.1555081435182
2011-07-01,72.341099955415,75.5161067371837
2011-08-01,72.5693941902272,75.6355550213354
2011-09-01,73.0191824060486,75.8211130476591
2011-10-01,73.553488061992,76.332712302422
2011-11-01,74.10430862002809,77.15833283250191
2011-12-01,74.7532471257921,77.7923853596971
2012-01-01,75.00922810823029,78.34304946210709
2012-02-01,74.97328390955781,78.502313840976
2012-03-01,75.18506324227721,78.5473886651842
2012-04-01,75.24043673752949,78.3009796261795
2012-05-01,75.5299332565679,78.0538193401046
2012-06-01,75.91900492057759,78.41366668669991
2012-07-01,75.7639983350546,78.8538974697999
2012-08-01,75.7500637559567,79.0905402968928
2012-09-01,76.0330962644305,79.43911893743609
2012-10-01,76.0180439509585,79.8410361199591
2012-11-01,76.2117324071146,80.3834365045976
2012-12-01,76.1313732549229,80.5682432838512
2013-01-01,76.2304891893795,80.89278201815009
2013-02-01,76.5193051336872,81.29094296532242
2013-03-01,76.705269009649,81.8874331390108
2013-04-01,76.5159853315287,81.94152292806059
2013-05-01,76.4677053738746,81.6688202416011
2013-06-01,76.76704762152809,81.619237934972
2013-07-01,76.4995919004713,81.59219304044709
2013-08-01,76.4449329054216,81.8243283851193
2013-09-01,76.79139540393349,82.1323396838752
2013-10-01,76.8062442968775,82.5229881603462
2013-11-01,77.0430749248694,83.29226516016591
2013-12-01,77.37301577091421,83.77005829677259
2014-01-01,77.7878091669649,84.5190516256987
2014-02-01,78.32939813606059,84.73315704068759
2014-03-01,78.390877026578,84.9652923853597
2014-04-01,78.42886055581721,84.8067792535609
2014-05-01,78.6421873850683,84.5355790612417
2014-06-01,78.3250138622828,84.6820722399183
2014-07-01,78.6601864908773,84.9149588316606
2014-08-01,78.9662798373226,85.2199651421359
2014-09-01,79.0837650818537,85.5963399242743
2014-10-01,79.0228594417735,86.0696255784602
2014-11-01,79.1313050034096,86.76377787126629
2014-12-01,79.95723694667491,87.1889837129635
2015-01-01,79.77764780830191,87.11010277059921
2015-02-01,79.8428507074533,87.2753771260292
2015-03-01,80.4610609654396,87.63071699020371
2015-04-01,80.59653703460309,87.40384037502251
2015-05-01,80.4862108031914,86.9673658272733
2015-06-01,80.80912627705641,87.11310775887969
2015-07-01,81.26615893099309,87.24081976080289
2015-08-01,81.52989051771691,87.42487529298641
2015-09-01,81.82901561747971,87.75241901556579
2015-10-01,81.76321371111041,88.20391850471779
2015-11-01,81.8681408708464,88.6854678766753
2015-12-01,82.1768680620478,89.0468177174109
2016-01-01,82.8956307634082,89.3863813931126
2016-02-01,83.64426740499829,89.7777811166536
2016-03-01,83.70332067783391,89.9100006009976
2016-04-01,83.9183143980874,89.6252779614159
2016-05-01,84.5292685152622,89.22561452010339
2016-06-01,85.33547700284241,89.3240278862912
2016-07-01,85.73744069885059,89.5569144780335
2016-08-01,86.01712936250351,89.80933349359941
2016-09-01,87.06706017255242,90.357743854799
2016-10-01,87.2442059618135,90.9061542159986
2016-11-01,88.31194673774151,91.6168339443476
2016-12-01,89.17550682197229,92.0390347977643
2017-01-01,91.02772041204872,93.6038824448585
2017-02-01,91.557695575573,94.14478033535671
2017-03-01,91.6101383649416,94.7224893322916
2017-04-01,91.2572649538435,94.8389326281628
2017-05-01,91.374351972567,94.7254943205721
2017-06-01,91.0409771358559,94.9636396418054
2017-07-01,90.8117783075692,95.3227357413306
2017-08-01,90.8642519603257,95.7937676543061
2017-09-01,90.9883471987892,96.09351523529058
2017-10-01,91.8421428172439,96.69826912675042
2017-11-01,92.8950971177767,97.69517398882152
2017-12-01,93.32364866699491,98.2728829857563
2018-01-01,94.1083361936215,98.7949996995012
2018-02-01,94.5281826771867,99.1713744816395
2018-03-01,94.94861230546628,99.4921569805878
2018-04-01,94.90924585083349,99.15484704609648
2018-05-01,96.31795875717572,98.9940801730873
2018-06-01,97.368334304175,99.3764649317868
2018-07-01,96.728120840026,99.90909910451349
2018-08-01,96.6646559527005,100.492
2018-09-01,97.23193403942128,100.917
2018-10-01,97.59184488848742,101.44
2018-11-01,98.94297082192293,102.303
2018-12-01,99.3129311945878,103.02
2019-01-01,98.7821610012796,103.108
2019-02-01,98.80322289000792,103.079
2019-03-01,98.97996525491948,103.476
2019-04-01,99.3001895017086,103.531
2019-05-01,99.3787222503919,103.233
2019-06-01,99.7864092837386,103.299
2019-07-01,100.0,103.687
2019-08-01,99.4473048549283,103.67
2019-09-01,99.9605929587184,103.942
2019-10-01,99.6959963185864,104.503
2019-11-01,99.87228103450953,105.346
2019-12-01,100.149046168079,105.934
2020-01-01,99.8713989880644,106.447
2020-02-01,100.327453557477,106.889
2020-03-01,102.659576415878,106.838
2020-04-01,104.668949614233,105.755
2020-05-01,104.141031040515,106.162
2020-06-01,103.494822641698,106.743
2020-07-01,104.481839333954,107.444
2020-08-01,104.854011747303,107.867
2020-09-01,104.483432542836,108.114
2020-10-01,104.544548056715,108.774
2020-11-01,104.286063610244,108.856
2020-12-01,104.293330453388,109.271
2021-01-01,105.117889550116,110.21
2021-02-01,106.227089169911,110.907
2021-03-01,107.615671628274,111.824
2021-04-01,107.975562356445,112.19
2021-05-01,108.758794456484,112.419
2021-06-01,109.53367544218,113.018
2021-07-01,110.016963327811,113.682
