FECHA,IPC,IPP
2018/01,98.794999699501,93.54535047
2018/02,99.171374481640,94.47001676
2018/03,99.492156980588,94.9022026
2018/04,99.154847046097,93.40162508
2018/05,98.994080173087,94.64124563
2018/06,99.376464931787,92.6244833
2018/07,99.909099104514,90.10514737
2018/08,100.492000000000,91.19069473
2018/09,100.917000000000,92.15485765
2018/10,101.440000000000,92.36645885
2018/11,102.303000000000,95.62441457
2018/12,103.020000000000,96.35575445
2019/01,103.108000000000,96.57041431
2019/02,103.079000000000,93.77808164
2019/03,103.476000000000,94.04591246
2019/04,103.531000000000,97.61980891
2019/05,103.233000000000,98.70343905
2019/06,103.299000000000,99.79867287
2019/07,103.687000000000,100
2019/08,103.670000000000,88.10993567
2019/09,103.942000000000,92.5445363485305
2019/10,104.503000000000,91.51685246
2019/11,105.346000000000,93.3005263614952
2019/12,105.934000000000,92.2862148845543
2020/01,106.447000000000,89.6969861807598
2020/02,106.889000000000,94.3060424270399
2020/03,106.838000000000,98.701184714732800
2020/04,105.755000000000,99.159313848858400
2020/05,106.162000000000,97.3889870596759000
2020/06,106.743000000000,97.8034692634584000
2020/07,107.444000000000,98.7004691831547000
2020/08,107.867000000000,99.2065235915231000
2020/09,108.114000000000,98.7772994157008000
2020/10,108.774000000000,99.1800549425849000
2020/11,108.856000000000,99.3354169805169000
2020/12,109.271000000000,99.1559276859653000
2021/01,110.210000000000,99.8577978545850000
2021/02,110.907000000000,101.192160449465000
2021/03,111.824000000000,103.150465454847000
2021/04,112.190000000000,105.881162404773000
2021/05,112.419000000000,107.443298694654000
2021/06,113.018000000000,108.020306739422000
2021/07,113.682000000000,108.537443914641000