FECHA,PRECIO_ALSEA,PRECIO_BIMBO,MXN_USD,MARGEN_EBITDA_ALSEA,MARGEN_EBITDA_BIMBO, EBITDA_ALSEA_MILLONES,EBITDA_BIMBO_MILLONES
4T2006,12.55991538,11.80309849,10.809,16.3,11.7,947,"7,509"
1T2007,17.42904202,12.13970538,11.0244,17.0,11.7,"1,052","7,769"
2T2007,16.28282047,14.67157061,10.811,16.3,11.4,"1,038","7,713"
3T2007,15.51071623,13.4392203,10.926,17.1,11.6,"1,136","8,137"
4T2007,13.12577203,14.31506927,10.9195,16.7,11.4,"1,169","8,252"
1T2008,11.1869325,14.08400359,10.642,16.4,11.4,"1,183","8,466"
2T2008,11.29608858,14.88428344,10.307,15.1,11.1,"1,111","8,514"
3T2008,7.112352069,15.22769874,10.949,14.2,10.9,"1,079","8,633"
4T2008,5.430141347,12.92127732,13.835,12.8,11.4,997,"9,353"
1T2009,3.625904976,11.65396411,14.21,12.0,11.3,961,"10,336"
2T2009,6.519656063,15.61487371,13.1695,10.7,11.8,877,"11,754"
3T2009,7.60917078,16.74408996,13.5035,10.6,12.2,885,"13,250"
4T2009,8.864930559,19.31495383,13.082,11.5,12.6,985,"14,661"
1T2010,11.7730495,24.2759177,12.357,11.6,13.1,"1,000","15,224"
2T2010,10.96248458,20.6151939,12.89,13.5,13.2,"1,171","15,336"
3T2010,11.3883001,20.69591469,12.625,12.8,13.1,"1,132","15,335"
4T2010,11.71445667,23.63998143,12.365,11.7,12.4,"1,049","14,518"
1T2011,11.42453972,22.46280318,11.8903,11.6,12.0,"1,076","14,128"
2T2011,10.96555101,24.87664065,11.71,11.1,11.5,"1,077","13,664"
3T2011,9.309679216,24.19810345,13.8835,11.1,11.2,"1,131","13,641"
4T2011,12.95259717,26.10534313,13.9725,10.9,10.6,"1,167","14,202"
1T2012,16.74270373,27.36155388,12.8035,10.8,9.7,"1,216","14,073"
2T2012,16.83004793,30.16774272,13.3396,10.9,9.1,"1,318","14,470"
3T2012,18.92672056,29.51372448,12.8593,11.2,7.7,"1,434","13,076"
4T2012,24.34784711,30.83097249,12.8704,11.9,7.4,"1,609","12,735"
1T2013,33.50898431,36.37631023,12.3339,12.2,7.5,"1,698","13,051"
2T2013,29.53779603,36.3091651,12.9795,12.3,7.7,"1,770","13,433"
3T2013,35.11204937,37.64127205,13.1524,12.7,8.9,"1,904","15,600"
4T2013,39.06766213,37.51297429,13.09,13.0,9.0,"2,040","15,745"
1T2014,45.49433565,32.88450781,13.064,12.8,8.8,"2,087","15,468"
2T2014,44.699382,35.52534655,12.9865,12.4,9.2,"2,201","16,315"
3T2014,40.69588046,36.3371945,13.4235,12.2,9.3,"2,360","17,114"
4T2014,39.04850662,37.97955358,14.7475,12.3,8.6,"2,802","16,121"
1T2015,42.70720898,40.3684395,15.261,12.3,8.9,"3,217","17,426"
2T2015,45.95183642,37.94222723,15.695,12.5,9.1,"3,596","18,474"
3T2015,48.62413032,39.94851815,16.933,12.7,9.2,"3,977","19,439"
4T2015,57.9481123,42.87863604,17.212,13.3,9.7,"4,302","21,170"
1T2016,62.77954221,47.65640789,17.29,13.4,10.0,"4,487","22,685"
2T2016,68.05261985,53.64969749,18.2575,13.5,10.2,"4,712","23,852"
3T2016,64.39156119,47.92093741,19.382,13.7,10.4,"4,953","25,327"
4T2016,58.07770333,44.07676126,20.64,13.7,10.5,"5,155","26,520"
1T2017,61.07311497,43.6829676,18.7275,13.8,10.2,"5,407","26,613"
2T2017,67.91953408,43.02046783,18.143,13.8,10.0,"5,591","26,471"
3T2017,66.21882658,41.48267479,18.1785,13.7,9.6,"5,678","25,524"
4T2017,63.64798965,41.04869639,19.6595,15.2,9.8,"6,466","26,233"
1T2018,62.81741156,37.52969759,18.303,15.1,10.0,"6,585","26,868"
2T2018,68.4,36.80474087,19.873,15.0,9.2,"6,696","25,459"
3T2018,63.67,37.96529356,18.7175,15.0,9.3,"6,814","26,408"
4T2018,51.15,37.24232631,19.665,13.9,9.9,"6,408","28,509"
1T2019,40.67,38.60264627,19.412,15.6,10.3,"7,687","30,060"
2T2019,37.78,38.48178841,19.197,17.4,11.2,"9,131","32,504"
3T2019,45.88,34.59804059,19.7205,19.8,11.5,"11,023","33,778"
4T2019,49.83,33.09837559,18.886,21.7,11.9,"12,618","34,793"
1T2020,15.18,33.14644178,23.798,21.9,10.9,"12,365","32,333"
2T2020,22.61,37.52012346,22.957,18.1,11.5,"8,563","35,822"
3T2020,21.08,40.34851852,22.105,17.0,12.0,"7,246","38,501"
4T2020,25.89,42.17234568,19.95,18.0,12.6,"6,918","41,660"
1T2021,30.28,41.84074074,20.42,17.7,14.5,"6,461","48,674"
2T2021,35.47,43.89,19.947,23.1,14.5,"10,155","48,511"
3T2021,37.9,49.81,20.206,-,-,-,-
4T2021,-,-,-,-,-,-,-