ANIO,MES,MES_NUM,POB_15_MAS,PEA,PEA_OCUP,PEA_DESOC,EMPLEADORES,1_SALARIO,2_SALARIOS,3_SALARIOS,5_SALARIOS,MAS_DE_5_SALARIOS,SIN_INGRESOS,NO_ESPECIFICO_INGRESOS,15_HORAS,34_HORAS,48_HORAS,MAS_DE_48_HORAS,NO_ESPECIFICO_HORAS,TASA_INFORMALIDAD
2005,Enero,1,72721263,42836764,41143856,1692908,2027625,6042705,10138484,7645742,7132132,4113729,3883275,2187789,2374753,6879338,18885620,11191659,201739,59.13773128
2005,Febrero,2,72978361,42976836,41355190,1621646,1998350,6068083,10033887,8102768,7221086,4013786,3614719,2300861,2358087,6625227,19127921,12107405,221132,59.49861674
2005,Marzo,3,73078716,43198606,41631760,1566846,1804688,6264403,9691136,7928762,7348548,4209063,4000275,2189573,2747731,8677006,17169588,11067194,186721,59.80505268
2005,Abril,4,72863898,42399530,40973459,1426071,2065098,5973883,9350592,7894953,7417377,4356633,3658619,2321402,2388495,6841221,18088761,12273084,225495,59.16093879
2005,Mayo,5,73128180,43188612,41761793,1426819,1912612,6407787,9818517,7939913,7474289,4068266,3845147,2207874,2682167,7224529,18572117,12223868,201015,60.14836336
2005,Junio,6,73475351,43611423,42092805,1518618,1911376,6322203,9288118,8111375,7733575,4398031,4122695,2116808,2575756,7225540,18830982,12413315,193790,59.93878051
2005,Julio,7,73396736,44065694,42336837,1728857,2009949,6196005,9469818,8060646,7668188,4480752,4375550,2085878,2332873,6060929,18731336,12497859,239818,60.08973462
2005,Agosto,8,73254365,43639188,42037595,1601593,2046901,6055760,9470375,8132417,7574842,4371842,4313431,2118928,2207347,6062645,19012900,12628647,217077,60.37622038
2005,Septiembre,9,73789522,43941163,42368761,1572402,1885462,6388663,9084524,8313244,7749546,4422049,4251442,2159293,2625650,7836051,18817146,12059335,230009,59.81327375
2005,Octubre,10,73841761,44198554,42701993,1496561,2052359,5942039,9341755,8474739,8245080,4603346,3862630,2232404,2699095,7180225,18878743,12801102,237639,59.60361616
2005,Noviembre,11,73741779,43880478,42590473,1290005,1960677,6053052,9709368,8203593,7884777,4568926,4032710,2138047,2375706,7570654,18863104,12727384,228140,60.28057261
2005,Diciembre,12,74217978,44216618,42991813,1224805,2036748,5807461,8966289,8743992,8368635,4742519,3940891,2422026,2333546,6872129,19420931,13150376,244844,59.9059593
2006,Enero,1,73926906,43975610,42446196,1529414,2136198,5863665,8843601,9311559,7631842,4745946,3758956,2290627,2300566,6988159,18817055,12264334,274651,59.09879651
2006,Febrero,2,74031410,44171432,42517111,1654321,2096506,5933022,9566166,9495483,7213746,4674385,3345855,2288454,2406633,7283518,19180836,12674348,255637,58.78914256
2006,Marzo,3,74311362,44417839,42946800,1471039,1966097,5977092,9235514,9690184,7385823,4792605,3554441,2311141,2598002,7665904,19021691,12720178,227477,58.95037814
2006,Abril,4,74244124,44518373,43096003,1422370,2118874,5768040,9186848,9497236,7832846,4890414,3548656,2371963,2653448,9545544,16789222,11201911,251365,58.92528595
2006,Mayo,5,74405480,44537290,43272760,1264530,2088255,5954449,9548051,9637432,7358113,4812603,3615923,2346189,2692196,8306083,18583399,12636291,248349,59.5862709
2006,Junio,6,74497247,44404817,42957738,1447079,2172787,5791193,8811956,9487007,7739937,5001226,3854984,2271435,2409409,7210611,19637128,12698034,223338,59.731795
2006,Julio,7,74801680,45681803,43851142,1830661,2231060,5652528,8929276,9778545,7724346,5364215,4018146,2384086,2516796,6771704,19272499,12987333,237013,58.54383222
2006,Agosto,8,75010966,45160633,43411986,1748647,2134330,5485232,9124844,9617855,7513992,5060947,4122997,2486119,2442716,6497319,19158416,12982416,239366,58.16972068
2006,Septiembre,9,74795943,44932703,43137284,1795419,2186575,5834530,8291481,9616135,7749045,5207614,3889906,2548573,2754583,7371788,18885793,12941910,213701,58.53841192
2006,Octubre,10,75012297,45688882,43944488,1744394,2205886,5844541,8845387,9569956,7955949,5188948,3984075,2555632,2889397,7835683,19362726,12830320,239148,57.74886033
2006,Noviembre,11,75478543,45938314,44329143,1609171,2128897,5900696,9421954,9587311,7739683,5098689,4034890,2545920,2726849,8749964,18984108,12767726,245111,58.45511157
2006,Diciembre,12,74941242,44625899,43145811,1480088,2146789,5611870,8800583,9402213,7903277,5212821,3652119,2562928,2603873,8169672,18509487,12678306,195714,58.32630194
2007,Enero,1,75546801,45071701,43247762,1823939,2155906,5509999,9256591,9426192,7761851,4897865,3856109,2539155,2676871,8162227,18610001,11118809,242225,57.48937251
2007,Febrero,2,76077072,45359658,43521834,1837824,2207551,5879231,9641043,9227815,7809875,4809859,3552262,2601749,2742281,7903370,18768935,13014157,262863,58.24833577
2007,Marzo,3,75305418,45150745,43468085,1682660,2178400,6129643,9099702,9341416,7781154,5106368,3501022,2508780,3065672,7949286,18859696,12690865,192882,58.07605051
2007,Abril,4,75773064,45155289,43568980,1586309,2335650,5499203,9142191,9319337,8147865,5315153,3549474,2595757,2817754,9681517,17185946,10760276,226905,57.36683071
2007,Mayo,5,76354668,45782183,44339652,1442531,2151395,5415781,9482667,9732019,8175026,5061517,3831876,2640766,2798662,8180013,19620529,12777734,242662,58.64533172
2007,Junio,6,75400854,45258928,43773533,1485395,2209301,5660940,8796971,9471988,8072322,5109698,3948938,2712676,2803903,7448558,19371185,13061485,250191,59.13101417
2007,Julio,7,76299609,46201750,44450672,1751078,2333769,5554361,8904925,9384359,8515162,5167567,4241797,2682501,2770362,6886850,19621342,12913105,316826,58.06408056
2007,Agosto,8,76755122,45698040,43947332,1750708,2276468,5513044,9252115,9586947,8028170,5007705,4000898,2558453,2527347,6850305,19316571,12931709,211585,58.51626442
2007,Septiembre,9,76091192,45119495,43422237,1697258,2041160,5432081,8682934,9444001,8187330,5155354,3845434,2675103,2617503,7410611,19604731,12821782,202980,57.62057353
2007,Octubre,10,76623603,46634947,44876285,1758662,2287066,5970257,9239492,9321125,8206798,5077411,4038971,3022231,3440987,7926414,19355032,13118206,319984,59.09085166
2007,Noviembre,11,77141067,47049764,45471703,1578061,2281042,5843535,9396514,9812055,8285239,4923784,4122560,3088016,3141189,9048874,19315278,12865309,242522,58.69130303
2007,Diciembre,12,76645824,46402688,44961357,1441331,2213640,5568518,8841277,9306608,8669571,5410422,4111219,3053742,3007542,7765150,19827178,13099149,303229,58.18583945
2008,Enero,1,76983820,45934724,44043563,1891161,2252329,5378087,8970576,10266292,7227844,5140793,3836269,3223702,2832037,8292199,18473741,11672280,286336,58.03847205
2008,Febrero,2,77376462,46696681,44880837,1815844,2150976,5638399,9491471,10559206,7484502,4923879,3748962,3034418,2870064,7862185,19891119,13284021,199641,58.73918973
2008,Marzo,3,77477932,46412757,44735137,1677620,2202246,5619116,9082348,10513434,7762811,5180229,3619930,2957269,3132782,8896213,18422849,12191234,287583,57.6258613
2008,Abril,4,76985115,46669817,45045915,1623902,2295357,5620373,9005048,10443026,7998569,5317189,3772389,2889321,2945605,7473298,20076792,13191879,265041,59.02868662
2008,Mayo,5,77823567,46623180,45086986,1536194,2198236,5381821,9470419,10745199,7647222,5000719,3659426,3182180,2932189,8597683,19910419,12584021,259546,58.37830012
2008,Junio,6,77742193,46900068,45320495,1579573,2225240,5553525,9496578,10322371,7712590,5190858,3829332,3215241,2928370,7703531,20484256,13093865,309597,58.92761763
2008,Julio,7,77406509,46804662,44870045,1934617,2340586,5552005,8960230,10569996,7441897,5301512,4143825,2900580,2805446,7057682,19833675,12944279,253879,58.79812022
2008,Agosto,8,78150655,46661956,44769015,1892941,2064355,5113062,9220074,10428736,7611634,5037633,3999678,3358198,2455986,6852171,20315432,12979825,241404,58.75232234
2008,Septiembre,9,78469676,46855208,44914982,1940226,2144431,5461740,8888648,10789467,7563205,5276668,3597702,3337552,2806482,8240744,19859514,12899441,277017,57.64495019
2008,Octubre,10,77862361,46274208,44343747,1930461,1962220,5428048,8639412,10622154,7668329,4960949,3725468,3299387,2861971,7801200,19637916,13049645,240760,58.67954731
2008,Noviembre,11,78685432,47027541,44994571,2032970,1750417,5535934,9522378,10238571,7476754,4700971,3808795,3711168,2894663,8046061,20111913,12899923,286757,59.20929661
2008,Diciembre,12,78874034,46498113,44626655,1871458,1673346,5218227,8616083,10415188,7388690,4876362,4182088,3930017,2734594,7760240,19915879,13177004,273142,58.80142933
2009,Enero,1,78830557,46857470,44510360,2347110,1989256,5792285,10338469,9084521,7827063,4546205,3605344,3316473,2541267,7507660,19835530,12916865,249581,59.17127159
2009,Febrero,2,79391942,47037143,44573256,2463887,1875823,5745709,10470225,9299208,7563857,4462697,3425493,3606067,2684863,8284759,19275857,13200889,261406,59.45223297
2009,Marzo,3,79548265,46672768,44495540,2177228,2027119,5658564,10361782,8993769,8025542,4711730,3276765,3467388,2689204,8041857,19916104,12772172,237678,58.65098165
2009,Abril,4,79488168,46762979,44398944,2364035,1974196,5752405,10161658,8752361,7855697,4706606,3647020,3523197,3071931,10710402,16012404,10760434,246938,59.57937423
2009,Mayo,5,79904158,47649414,45156533,2492881,2026949,6280193,10219392,9023361,7734114,4573439,3656829,3669205,3009743,8314152,19316345,12389168,240079,60.07083626
2009,Junio,6,79918223,47524392,45159751,2364641,2040292,5892357,9822948,8785313,8047464,4729603,4024978,3857088,2854474,7914599,20275083,13113195,254633,60.21535415
2009,Julio,7,79982963,48040501,45243805,2796696,2024862,5950347,9918872,9175443,7737546,4330715,4241817,3889065,2549509,7493877,19937470,12908783,269790,60.68532918
2009,Agosto,8,80562450,49079922,46063615,3016307,1994462,6397214,10330805,9142392,8000397,4480913,3917012,3794882,3006803,7600217,20333097,13048784,242364,59.98005584
2009,Septiembre,9,80194512,48690043,45564234,3125809,1988770,6415924,10416314,8835119,7853507,4416429,4045795,3581146,3226670,8699987,19159135,13265640,241006,59.95721337
2009,Octubre,10,80445906,48975482,46198564,2776918,2096441,6457833,10574590,9178414,7758074,4061161,4231229,3937263,3315613,8402269,20007302,13323486,272957,61.11366362
2009,Noviembre,11,80764742,48955731,46454577,2501154,2114828,6601964,10712586,9367796,7788580,4127085,3940866,3915700,3428805,9444130,19733073,12712139,267878,60.0861956
2009,Diciembre,12,80593354,48308904,46024280,2284624,2054056,5983368,10296573,9244934,7730329,4454596,4216351,4098129,3130258,9277025,19059375,12766475,197016,60.03270882
2010,Enero,1,80337714,47574206,44833436,2740770,2139311,6138313,10906506,9382038,7582216,3711925,3777422,3335016,3096431,7956036,19415672,12942100,245580,60.4335144
2010,Febrero,2,81162504,48015299,45479662,2535637,2096177,6405431,10836450,9757145,7659553,3763642,3368058,3689383,3079843,8504356,19878757,12918047,285161,59.62511551
2010,Marzo,3,80990709,48384357,46089007,2295350,2125380,6103753,10980674,9727796,7621201,4283080,3602466,3770037,3055589,8811182,19841908,13422928,253047,59.66253298
2010,Abril,4,80731559,48443519,45853076,2590443,2211886,6626597,10957287,9427952,7349723,3872956,3866266,3752295,3234254,8808562,19017456,12688928,258023,61.01905137
2010,Mayo,5,81538479,49308336,46845152,2463184,2216745,6523209,11105069,9833877,7823279,3964652,3884721,3710345,3489128,8546763,20526013,13281367,276917,60.16814504
2010,Junio,6,81494046,49127618,46709732,2417886,2174194,6031443,10627571,9661357,8051398,4157335,4166410,4014218,2997017,8302125,20780032,13660904,211794,59.61130755
2010,Julio,7,81017032,48782809,46058207,2724602,2231713,6032987,10340717,9630182,7882512,3905430,4471584,3794795,2917518,7547176,20164761,12967079,271739,60.37855751
2010,Agosto,8,81952121,49444786,46766962,2677824,2312697,6199188,10730278,10023321,7580659,4155159,4146198,3932159,2922777,7685551,20706518,13434477,241692,59.12808705
2010,Septiembre,9,81769573,48744235,45986482,2757753,2095939,6229509,10489102,9679350,7731700,4022033,3861596,3973192,3507488,9536670,19290677,12455360,212506,59.40622942
2010,Octubre,10,81487806,48244414,45599990,2644424,1892703,6019079,10400945,9738563,7830131,3829664,4029329,3752279,2998876,7918320,20275114,13360352,268190,60.50617774
2010,Noviembre,11,82394215,48736519,46215691,2520828,1691316,6014651,10993149,9790604,7845301,3694082,3943763,3934141,2707747,8801685,20773979,12928907,271279,59.18038529
2010,Diciembre,12,82160724,47804777,45444670,2360107,1662938,5435137,10138984,9753169,8032581,3970700,3841374,4272725,2675008,8191770,20417964,12665476,302540,59.38723947
2011,Enero,1,82004952,47912420,45355329,2557091,2025908,5628535,10470011,10003070,7589448,3772537,3735432,4156296,2723467,7324157,19909553,13548699,290362,60.15660696
2011,Febrero,2,82686617,48610520,46015455,2595065,2111947,5786072,11064786,10099374,7518337,3973098,3265208,4308580,2811098,8055479,20948003,13231334,285370,59.54635024
2011,Marzo,3,82607474,48619592,46362797,2256795,2134305,5983380,10653974,10159159,8171890,3886382,3485739,4022273,2694999,8191803,21029184,13463277,307348,59.22942268
2011,Abril,4,82410616,48718460,46218893,2499567,2320391,6048150,10286434,10248284,8065863,4053137,3433351,4083674,3041805,10367815,18321633,11730766,262218,59.29498787
2011,Mayo,5,83143968,49640136,47068398,2571738,2263560,6039025,11071147,10516524,7670156,3796858,3844141,4130547,2974226,8531056,20913273,13543739,274846,59.59726736
2011,Junio,6,82886729,49595827,46917262,2678565,2297929,5934423,10559089,9978044,7719260,3941992,3931850,4852604,2935013,8308787,21178554,13424160,354098,59.9175587
2011,Julio,7,82703605,49945076,47209525,2735551,2591909,5997258,10753212,10026536,7632886,4111891,4202259,4485483,2802158,7784918,21245210,12904748,296415,59.60204217
2011,Agosto,8,83559129,50092580,47234678,2857902,2186126,6178735,10898722,9875661,7461539,3818807,4052722,4948492,2973900,7952450,20964640,13259053,326318,60.47220222
2011,Septiembre,9,83360340,49962923,47248743,2714180,2295696,6370839,10608379,10131888,7463604,4065807,3899455,4708771,3253959,9756008,20186110,13088432,261244,59.95405211
2011,Octubre,10,83126980,50525224,48002298,2522926,2455617,6556093,10955978,9989438,7546456,3947837,4110819,4895677,3757970,8547707,21264938,13314149,294566,59.71787434
2011,Noviembre,11,83878369,50795975,48275845,2520130,2161186,6415169,11146514,10057256,7603189,3769858,4058130,5225729,3511556,9888073,20881146,12823288,345672,60.25512759
2011,Diciembre,12,83717934,50553770,48275410,2278360,2329966,6295325,10453120,9991027,7924942,4246060,4151126,5213810,3230616,8764972,20745976,13965314,270995,60.20193096
2012,Enero,1,83694184,49787717,47358204,2429513,2392834,6499637,11726180,10403148,6894428,3626513,3830877,4377421,3106676,8324350,21083982,13354261,288468,60.27885052
2012,Febrero,2,84242694,50028808,47387233,2641575,2112486,6496188,11591203,10566671,7029763,3599134,3569568,4534706,3062344,8790322,21119928,13213948,340963,60.18729348
2012,Marzo,3,84100766,50425486,48147016,2278470,2333163,6498674,11164643,10412228,7489588,4286911,3678826,4616146,3136844,8889018,21150037,14004732,287838,59.26097892
2012,Abril,4,84079292,50510159,48056383,2453776,2373260,6581270,11162911,10678449,7402886,3818913,3840824,4571130,3465592,10492415,19080090,12082104,307766,59.67612669
2012,Mayo,5,84626112,51520125,49112230,2407895,2289286,7137977,11792528,10930335,7243864,3564337,3911912,4531277,3595245,9683624,21145065,13553053,320186,60.37240215
2012,Junio,6,84425030,51896944,49431151,2465793,2273979,6817272,11528121,10397275,7374551,4059131,4279003,4975798,3574374,8914940,21626344,14246572,312113,60.25810728
2012,Julio,7,84544926,51782815,49197802,2585013,2602795,6780665,11452720,10623839,7207010,3961534,4431814,4740220,3312166,8140501,21330524,13913104,352329,60.92821179
2012,Agosto,8,85222143,52115532,49338932,2776600,2252496,6958573,11739931,10569253,7422616,3676368,3935544,5036647,3304746,8186057,21893272,13674546,341186,59.78233984
2012,Septiembre,9,84705405,51351559,48832660,2518899,2221443,6842730,11132886,10373955,7412170,3933435,4052625,5084859,3573200,8752960,21300933,14157163,329811,59.81270732
2012,Octubre,10,85085342,51280873,48701201,2579672,1983522,6555795,11277028,10598468,7175134,3911540,4261135,4922101,3345333,8664708,21689977,13839825,334817,60.87536732
2012,Noviembre,11,85449181,51491239,48892142,2599097,1904555,6758426,11537493,10584045,7431439,3609245,3873271,5098223,3248991,9869355,21349082,13222324,366052,60.12537148
2012,Diciembre,12,84984091,50686235,48458349,2227886,1762900,6042849,11033867,10719040,7403053,4028029,3962959,5268552,3136407,8496914,21059102,14524713,324198,59.29298582
2013,Enero,1,85341021,50239756,47522851,2716905,2112801,6455435,11624591,9998373,7535810,3446244,3797949,4664449,2993330,9273597,20883776,12081089,337847,60.28245443
